YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,AIRLINE_NAME,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,ORIGIN_NAME,ORIGIN_CITY,ORIGIN_STATE,DESTINATION_AIRPORT,DESTINATION_NAME,DESTINATION_CITY,DESTINATION_STATE,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,DISTANCE,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY
2015,1,5,1,WN,Southwest Airlines Co.,511,N704SW,LAS,McCarran International Airport,Las Vegas,NV,RNO,Reno/Tahoe International Airport,Reno,NV,955,1008,13,345,1115,1119,4
2015,1,5,1,US,US Airways Inc.,471,N545UW,LAS,McCarran International Airport,Las Vegas,NV,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,1000,956,-4,255,1204,1203,-1
2015,1,5,1,WN,Southwest Airlines Co.,1586,N7745A,RNO,Reno/Tahoe International Airport,Reno,NV,LAS,McCarran International Airport,Las Vegas,NV,1015,1029,14,345,1125,1141,16
2015,1,5,1,WN,Southwest Airlines Co.,4120,N770SA,LAS,McCarran International Airport,Las Vegas,NV,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,1015,1015,0,255,1220,1221,1
2015,1,5,1,WN,Southwest Airlines Co.,537,N639SW,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,LAS,McCarran International Airport,Las Vegas,NV,1050,1111,21,255,1055,1112,17
2015,1,5,1,US,US Airways Inc.,531,N839AW,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,RNO,Reno/Tahoe International Airport,Reno,NV,1050,1102,12,601,1142,1146,4
2015,1,5,1,OO,Skywest Airlines Inc.,6604,N885AS,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,YUM,Yuma International Airport,Yuma,AZ,1100,1055,-5,160,1159,1148,-11
2015,1,5,1,US,US Airways Inc.,561,N583UW,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,LAS,McCarran International Airport,Las Vegas,NV,1110,1128,18,255,1123,1135,12
2015,1,5,1,OO,Skywest Airlines Inc.,6567,N889AS,FLG,Flagstaff Pulliam Airport,Flagstaff,AZ,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,1130,1126,-4,119,1216,1212,-4
2015,1,5,1,OO,Skywest Airlines Inc.,6572,N906SW,YUM,Yuma International Airport,Yuma,AZ,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,1130,1125,-5,160,1221,1218,-3
2015,1,5,1,US,US Airways Inc.,1853,N554UW,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,LAS,McCarran International Airport,Las Vegas,NV,1135,1135,0,255,1150,1146,-4
2015,1,5,1,WN,Southwest Airlines Co.,2432,N715SW,TUS,Tucson International Airport,Tucson,AZ,LAS,McCarran International Airport,Las Vegas,NV,1135,1136,1,365,1150,1149,-1
2015,1,5,1,OO,Skywest Airlines Inc.,6608,N896SK,TUS,Tucson International Airport,Tucson,AZ,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,1135,1131,-4,110,1225,1230,5
2015,1,5,1,US,US Airways Inc.,450,N653AW,LAS,McCarran International Airport,Las Vegas,NV,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,1145,1137,-8,255,1353,1344,-9
2015,1,5,1,WN,Southwest Airlines Co.,1502,N609SW,LAS,McCarran International Airport,Las Vegas,NV,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,1150,1204,14,255,1355,1407,12
2015,1,5,1,WN,Southwest Airlines Co.,2695,N235WN,RNO,Reno/Tahoe International Airport,Reno,NV,LAS,McCarran International Airport,Las Vegas,NV,1155,1155,0,345,1305,1257,-8
2015,1,5,1,WN,Southwest Airlines Co.,2129,N299WN,LAS,McCarran International Airport,Las Vegas,NV,RNO,Reno/Tahoe International Airport,Reno,NV,1155,1150,-5,345,1315,1305,-10
2015,1,5,1,US,US Airways Inc.,420,N839AW,RNO,Reno/Tahoe International Airport,Reno,NV,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,1225,1221,-4,601,1505,1510,5
2015,1,5,1,WN,Southwest Airlines Co.,2135,N296WN,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,RNO,Reno/Tahoe International Airport,Reno,NV,1230,1230,0,601,1325,1311,-14
2015,1,5,1,US,US Airways Inc.,473,N583UW,LAS,McCarran International Airport,Las Vegas,NV,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,1240,1237,-3,255,1447,1441,-6
2015,1,5,1,WN,Southwest Airlines Co.,3486,N298WN,LAS,McCarran International Airport,Las Vegas,NV,RNO,Reno/Tahoe International Airport,Reno,NV,1250,1248,-2,345,1410,1406,-4
2015,1,5,1,OO,Skywest Airlines Inc.,6584,N885AS,YUM,Yuma International Airport,Yuma,AZ,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,1255,1253,-2,160,1348,1337,-11
2015,1,5,1,OO,Skywest Airlines Inc.,6585,N896SK,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,TUS,Tucson International Airport,Tucson,AZ,1315,1319,4,110,1359,1405,6
